ābcd, ābcd, ābcd, empty
ābcd + ab̄cd + abc̄d̄, ābcd + ab̄cd + abc̄, ābcd + ab̄cd + abc̄, empty
ābcd + ab̄cd + abc̄d̄ + abcd, bcd + acd + abd + abc̄, bcd + acd + abc̄, empty
ābcd + ab̄cd + abc̄d̄, bcd + acd + abc̄, bcd + acd + abc̄, empty
ābcd + ab̄cd + abc̄d̄ + abcd̄, ābcd + ab̄cd + abd̄ + abc̄, ābcd + ab̄cd + abd̄, empty
ābcd + ab̄cd + abc̄d̄ + abcd̄ + abcd, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d̄ + abcd̄, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d̄, ābcd + ab̄cd + abd̄ + abc̄, ābcd + ab̄cd + abc̄, ābcd + ab̄cd + abd̄
ābcd + ab̄cd + abc̄d̄ + abcd, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d̄, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd, ābcd + ab̄cd, ābcd + ab̄cd, empty
ābcd + ab̄cd + abcd, bcd + acd, bcd + acd, empty
ābcd + ab̄cd, bcd + acd, bcd + acd, empty
ābcd + ab̄cd + abcd̄, ābcd + ab̄cd + abd̄, ābcd + ab̄cd + abd̄, empty
ābcd + ab̄cd + abcd̄ + abcd, bcd + acd + abd̄ + abc, bcd + acd + abc, bcd + acd + abd̄
ābcd + ab̄cd + abcd̄, bcd + acd + abd̄ + abc, bcd + acd + abc, bcd + acd + abd̄
ābcd + ab̄cd, ābcd + ab̄cd, ābcd + ab̄cd, empty
ābcd + ab̄cd + abcd, bcd + acd + abc, bcd + acd, empty
ābcd + ab̄cd, bcd + acd, bcd + acd, empty
ābcd + ab̄cd + abc̄d, ābcd + ab̄cd + abc̄, ābcd + ab̄cd + abc̄, empty
ābcd + ab̄cd + abc̄d + abcd, bcd + acd + abd + abc̄, bcd + acd + abc̄, bcd + acd + abd
ābcd + ab̄cd + abc̄d, bcd + acd + abd + abc̄, bcd + acd + abc̄, bcd + acd + abd
ābcd + ab̄cd + abc̄d + abcd̄, ābcd + ab̄cd + abd̄ + abc̄, ābcd + ab̄cd + abd̄ + abc̄, empty
ābcd + ab̄cd + abc̄d + abcd̄ + abcd, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d + abcd̄, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d, ābcd + ab̄cd + abc̄, ābcd + ab̄cd + abc̄, empty
