ābcd, ābcd, ābcd, empty
ābcd̄ + ab̄cd̄ + abcd, ābcd̄ + ab̄cd̄ + abd, ābcd̄ + ab̄cd̄ + abd, empty
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄cd̄, ābcd̄ + ab̄cd̄, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + acd̄ + abd̄, bcd̄ + acd̄, empty
ābcd̄ + ab̄cd̄ + abcd̄ + abcd, bcd̄ + acd̄ + ab, bcd̄ + acd̄ + ab, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + acd̄ + ab, bcd̄ + acd̄, empty
ābcd̄ + ab̄cd̄, bcd̄ + acd̄, bcd̄ + acd̄, empty
ābcd̄ + ab̄cd̄ + abcd, bcd̄ + acd̄ + ab, bcd̄ + acd̄ + ab, empty
ābcd̄ + ab̄cd̄, bcd̄ + acd̄, bcd̄ + acd̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd, ābcd̄ + ab̄d + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd, ābcd̄ + acd + ab̄d + ab̄c, ābcd̄ + acd + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd, ābcd̄ + acd + ab̄d + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + acd̄ + ab̄d + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄ + abcd, bcd̄ + ac + ab̄d, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + ac + ab̄d, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, bcd̄ + acd̄ + ab̄d + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abcd, bcd̄ + ac + ab̄d, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, bcd̄ + ac + ab̄d, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d, ābcd̄ + ac̄d + ab̄d + ab̄c, ābcd̄ + ac̄d + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd, ābcd̄ + ad + ab̄c, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d, ābcd̄ + ad + ab̄c, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + ab̄d + ab̄c, bcd̄ + ac̄d + ab̄c, bcd̄ + ac̄d + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd̄ + abcd, bcd̄ + ad + ac, bcd̄ + ad + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, bcd̄ + ad + ac, bcd̄ + ad + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d, bcd̄ + ac̄d + acd̄ + ab̄d + ab̄c, bcd̄ + ac̄d + ab̄c, bcd̄ + ac̄d + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd, bcd̄ + ad + ac, bcd̄ + ad + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d, bcd̄ + ad + ac, bcd̄ + ad + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, ābcd̄ + ab̄d + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd, ābcd̄ + ad + ab̄c, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd, ābcd̄ + ad + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + acd̄ + ab̄d + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄ + abcd, bcd̄ + ad + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + ad + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, bcd̄ + acd̄ + ab̄d + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abcd, bcd̄ + ad + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, bcd̄ + ad + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄, ābcd̄ + ab̄d + ab̄c + abc̄d̄, ābcd̄ + ab̄c + abc̄d̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, ābcd̄ + acd + ab̄d + ab̄c + abc̄d̄, ābcd̄ + acd + ab̄c + abc̄d̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄, ābcd̄ + acd + ab̄d + ab̄c + abc̄d̄, ābcd̄ + ab̄c + abc̄d̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, bcd̄ + acd̄ + ab̄d + ab̄c + abd̄, bcd̄ + ab̄c + abd̄, bcd̄ + acd̄ + ab̄d + abd̄
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄ + abcd, bcd̄ + ac + ab̄d + abd̄, bcd̄ + ac + abd̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, bcd̄ + ac + ab̄d + abd̄, bcd̄ + ac + abd̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄, bcd̄ + acd̄ + ab̄d + ab̄c + abd̄, bcd̄ + ab̄c + abd̄, bcd̄ + acd̄ + ab̄d + abd̄
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, bcd̄ + ac + ab̄d + abd̄, bcd̄ + ac + abd̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄, bcd̄ + ac + ab̄d + abd̄, bcd̄ + ac + abd̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ābcd̄ + ac̄d + ab̄d + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ad + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, bcd̄ + ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄, ābcd̄ + ab̄d + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ad + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, bcd̄ + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄, bcd̄ + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d̄, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + ab̄cd, ābcd̄ + ab̄d + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd, ābcd̄ + acd + ab̄d + ab̄c, ābcd̄ + acd + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd, ābcd̄ + acd + ab̄d + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + acd̄ + ab̄d + ab̄c + abd̄, bcd̄ + ab̄c, bcd̄ + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄ + abcd, bcd̄ + ac + ab̄d + abd̄, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + ac + ab̄d + abd̄, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, bcd̄ + acd̄ + ab̄d + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abcd, bcd̄ + ac + ab̄d, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, bcd̄ + ac + ab̄d, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d, ābcd̄ + ac̄d + ab̄d + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, ābcd̄ + ac̄d + ab̄c
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, ābcd̄ + ad + ab̄c
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, bcd̄ + ad + ac
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, bcd̄ + ad + ac
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d, bcd̄ + ac̄d + acd̄ + ab̄d + ab̄c + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, bcd̄ + ad + ac
ābcd̄ + ab̄cd̄ + ab̄cd + abc̄d, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, bcd̄ + ad + ac
ābcd̄ + ab̄cd̄ + ab̄cd, ābcd̄ + ab̄d + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd, ābcd̄ + ad + ab̄c, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd, ābcd̄ + ad + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + acd̄ + ab̄d + ab̄c + abd̄, bcd̄ + ab̄c, bcd̄ + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd + abcd̄, bcd̄ + ad + ac + ab, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, bcd̄ + acd̄ + ab̄d + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄ + ab̄d
ābcd̄ + ab̄cd̄ + ab̄cd + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + ab̄cd, bcd̄ + ad + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + abcd, ābcd̄ + acd + ab̄c, ābcd̄ + acd + ab̄c, empty
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + acd̄ + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄
ābcd̄ + ab̄cd̄ + abcd̄ + abcd, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, bcd̄ + acd̄ + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄
ābcd̄ + ab̄cd̄ + abcd, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + abc̄d, ābcd̄ + ac̄d + ab̄c, ābcd̄ + ac̄d + ab̄c, empty
ābcd̄ + ab̄cd̄ + abc̄d + abcd, ābcd̄ + ad + ab̄c, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄ + abc̄d, ābcd̄ + ad + ab̄c, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄ + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + ab̄c, bcd̄ + ac̄d + ab̄c, bcd̄ + ac̄d + acd̄
ābcd̄ + ab̄cd̄ + abc̄d + abcd̄ + abcd, bcd̄ + ad + ac, bcd̄ + ad + ac, empty
ābcd̄ + ab̄cd̄ + abc̄d + abcd̄, bcd̄ + ad + ac, bcd̄ + ad + ac, empty
ābcd̄ + ab̄cd̄ + abc̄d, bcd̄ + ac̄d + acd̄ + ab̄c, bcd̄ + ac̄d + ab̄c, bcd̄ + ac̄d + acd̄
ābcd̄ + ab̄cd̄ + abc̄d + abcd, bcd̄ + ad + ac, bcd̄ + ad + ac, empty
ābcd̄ + ab̄cd̄ + abc̄d, bcd̄ + ad + ac, bcd̄ + ad + ac, empty
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + abcd, ābcd̄ + ad + ab̄c, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + acd̄ + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄
ābcd̄ + ab̄cd̄ + abcd̄ + abcd, bcd̄ + ad + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, bcd̄ + acd̄ + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄
ābcd̄ + ab̄cd̄ + abcd, bcd̄ + ad + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + abc̄d̄, ābcd̄ + ab̄c + abc̄d̄, ābcd̄ + ab̄c + abc̄d̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd, ābcd̄ + acd + ab̄c + abc̄d̄, ābcd̄ + acd + ab̄c + abc̄d̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄, ābcd̄ + ab̄c + abc̄d̄, ābcd̄ + ab̄c + abc̄d̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd̄, bcd̄ + acd̄ + ab̄c + abd̄, bcd̄ + ab̄c + abd̄, bcd̄ + acd̄ + abd̄
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, bcd̄ + ac + abd̄, bcd̄ + ac + abd̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd̄, bcd̄ + ac + abd̄, bcd̄ + ac + abd̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄, bcd̄ + acd̄ + ab̄c + abd̄, bcd̄ + ab̄c + abd̄, bcd̄ + acd̄ + abd̄
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd, bcd̄ + ac + abd̄, bcd̄ + ac + abd̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄, bcd̄ + ac + abd̄, bcd̄ + ac + abd̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d, ābcd̄ + ac̄d + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d + abcd, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ad + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d, bcd̄ + ac̄d + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abc̄d, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + abc̄d̄, ābcd̄ + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ad + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄, ābcd̄ + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd̄, bcd̄ + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd̄, bcd̄ + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + abc̄d̄, bcd̄ + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + abc̄d̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄ + abc̄d̄, bcd̄ + ac + ab, bcd̄ + ac + ab, empty
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + abcd, ābcd̄ + acd + ab̄c, ābcd̄ + acd + ab̄c, empty
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + acd̄ + ab̄c + abd̄, bcd̄ + ab̄c, bcd̄ + acd̄
ābcd̄ + ab̄cd̄ + abcd̄ + abcd, bcd̄ + ac + abd̄, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + ac + abd̄, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, bcd̄ + acd̄ + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄
ābcd̄ + ab̄cd̄ + abcd, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + abc̄d, ābcd̄ + ac̄d + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, ābcd̄ + ac̄d + ab̄c
ābcd̄ + ab̄cd̄ + abc̄d + abcd, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄ + abc̄d, ābcd̄ + ad + ab̄c + abc̄, ābcd̄ + ab̄c + abc̄, ābcd̄ + ad + ab̄c
ābcd̄ + ab̄cd̄ + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + ab̄c + abd̄ + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + abc̄d + abcd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, bcd̄ + ad + ac
ābcd̄ + ab̄cd̄ + abc̄d + abcd̄, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, bcd̄ + ad + ac
ābcd̄ + ab̄cd̄ + abc̄d, bcd̄ + ac̄d + acd̄ + ab̄c + abc̄, empty, empty
ābcd̄ + ab̄cd̄ + abc̄d + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, bcd̄ + ad + ac
ābcd̄ + ab̄cd̄ + abc̄d, bcd̄ + ad + ac + ab, bcd̄ + ac + ab, bcd̄ + ad + ac
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + abcd, ābcd̄ + ad + ab̄c, ābcd̄ + ad + ab̄c, empty
ābcd̄ + ab̄cd̄, ābcd̄ + ab̄c, ābcd̄ + ab̄c, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + acd̄ + ab̄c + abd̄, bcd̄ + ab̄c, bcd̄ + acd̄
ābcd̄ + ab̄cd̄ + abcd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄ + abcd̄, bcd̄ + ac + ab, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, bcd̄ + acd̄ + ab̄c, bcd̄ + ab̄c, bcd̄ + acd̄
ābcd̄ + ab̄cd̄ + abcd, bcd̄ + ad + ac + ab, bcd̄ + ac, empty
ābcd̄ + ab̄cd̄, bcd̄ + ac, bcd̄ + ac, empty
ābcd̄, ābcd̄, ābcd̄, empty
ābcd̄ + abcd, ābcd̄ + abcd, ābcd̄ + abcd, empty
ābcd̄, ābcd̄, ābcd̄, empty
ābcd̄ + abcd̄, bcd̄ + acd̄, bcd̄, empty
ābcd̄ + abcd̄ + abcd, bcd̄ + acd̄ + abc, bcd̄ + abc, empty
ābcd̄ + abcd̄, bcd̄ + acd̄ + abc, bcd̄, empty
ābcd̄, bcd̄, bcd̄, empty
ābcd̄ + abcd, bcd̄ + abc, bcd̄ + abc, empty
ābcd̄, bcd̄, bcd̄, empty
ābcd̄ + abc̄d, ābcd̄ + ac̄d, ābcd̄ + ac̄d, empty
ābcd̄ + abc̄d + abcd, ābcd̄ + ac̄d + abd, ābcd̄ + abd, empty
ābcd̄ + abc̄d, ābcd̄ + ac̄d + abd, ābcd̄ + abd, ābcd̄ + ac̄d
ābcd̄ + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄, bcd̄ + ac̄d, empty
ābcd̄ + abc̄d + abcd̄ + abcd, bcd̄ + ac̄d + acd̄ + abd + abc, bcd̄ + abd, bcd̄ + ac̄d + abc
ābcd̄ + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + abd + abc, bcd̄ + abd, bcd̄ + ac̄d
ābcd̄ + abc̄d, bcd̄ + ac̄d, bcd̄ + ac̄d, empty
ābcd̄ + abc̄d + abcd, bcd̄ + ac̄d + abd + abc, bcd̄ + abd, bcd̄ + ac̄d + abc
ābcd̄ + abc̄d, bcd̄ + ac̄d + abd, bcd̄ + abd, bcd̄ + ac̄d
ābcd̄, ābcd̄, ābcd̄, empty
ābcd̄ + abcd, ābcd̄ + abd, ābcd̄ + abd, empty
ābcd̄, ābcd̄, ābcd̄, empty
ābcd̄ + abcd̄, bcd̄ + acd̄, bcd̄, empty
ābcd̄ + abcd̄ + abcd, bcd̄ + acd̄ + abd + abc, bcd̄ + abc, bcd̄ + abd
ābcd̄ + abcd̄, bcd̄ + acd̄ + abc, bcd̄, empty
ābcd̄, bcd̄, bcd̄, empty
ābcd̄ + abcd, bcd̄ + abd + abc, bcd̄ + abc, bcd̄ + abd
ābcd̄, bcd̄, bcd̄, empty
ābcd̄ + abc̄d̄, ābcd̄ + abc̄d̄, ābcd̄ + abc̄d̄, empty
ābcd̄ + abc̄d̄ + abcd, ābcd̄ + abc̄d̄ + abcd, ābcd̄ + abc̄d̄ + abcd, empty
ābcd̄ + abc̄d̄, ābcd̄ + abc̄d̄, ābcd̄ + abc̄d̄, empty
ābcd̄ + abc̄d̄ + abcd̄, bcd̄ + acd̄ + abd̄, bcd̄ + abd̄, empty
ābcd̄ + abc̄d̄ + abcd̄ + abcd, bcd̄ + acd̄ + abd̄ + abc, bcd̄ + abd̄ + abc, empty
ābcd̄ + abc̄d̄ + abcd̄, bcd̄ + acd̄ + abd̄ + abc, bcd̄ + abd̄, empty
ābcd̄ + abc̄d̄, bcd̄ + abd̄, bcd̄ + abd̄, empty
ābcd̄ + abc̄d̄ + abcd, bcd̄ + abd̄ + abc, bcd̄ + abd̄ + abc, empty
ābcd̄ + abc̄d̄, bcd̄ + abd̄, bcd̄ + abd̄, empty
ābcd̄ + abc̄d̄ + abc̄d, ābcd̄ + ac̄d + abc̄, ābcd̄ + abc̄, empty
ābcd̄ + abc̄d̄ + abc̄d + abcd, ābcd̄ + ac̄d + abd + abc̄, ābcd̄ + abd + abc̄, empty
ābcd̄ + abc̄d̄ + abc̄d, ābcd̄ + ac̄d + abd + abc̄, ābcd̄ + abc̄, empty
ābcd̄ + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + abd̄ + abc̄, bcd̄ + abc̄, bcd̄ + ac̄d + abd̄
ābcd̄ + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd̄ + ac̄d + acd̄ + ab, bcd̄ + ab, empty
ābcd̄ + abc̄d̄ + abc̄d + abcd̄, bcd̄ + ac̄d + acd̄ + ab, bcd̄ + ab, empty
ābcd̄ + abc̄d̄ + abc̄d, bcd̄ + ac̄d + abd̄ + abc̄, bcd̄ + abc̄, bcd̄ + ac̄d + abd̄
ābcd̄ + abc̄d̄ + abc̄d + abcd, bcd̄ + ac̄d + ab, bcd̄ + ab, empty
ābcd̄ + abc̄d̄ + abc̄d, bcd̄ + ac̄d + ab, bcd̄ + ab, empty
ābcd̄ + abc̄d̄, ābcd̄ + abc̄, ābcd̄ + abc̄, empty
ābcd̄ + abc̄d̄ + abcd, ābcd̄ + abd + abc̄, ābcd̄ + abd + abc̄, empty
ābcd̄ + abc̄d̄, ābcd̄ + abc̄, ābcd̄ + abc̄, empty
