empty, 0, empty, empty
ab̄c, ab̄, ab̄, empty
ab̄c + abc, bc + a, a, empty
ab̄c, a, a, empty
empty, empty, empty, empty
abc, bc + ac, ac, bc
empty, empty, empty, empty
abc̄, ac̄, ac̄, empty
abc̄ + abc, bc + a, a, empty
abc̄, a, a, empty
empty, empty, empty, empty
abc, bc + a, a, bc
empty, empty, empty, empty
ābc̄, ābc̄, ābc̄, empty
ābc̄ + abc, ābc̄ + abc, ābc̄ + abc, empty
ābc̄, ābc̄, ābc̄, empty
ābc̄ + abc̄, bc̄, bc̄, empty
ābc̄ + abc̄ + abc, bc̄ + ab, bc̄ + ab, empty
ābc̄ + abc̄, bc̄ + ab, bc̄, empty
ābc̄, bc̄, bc̄, empty
ābc̄ + abc, bc̄ + ab, bc̄ + ab, empty
ābc̄, bc̄, bc̄, empty
ābc̄ + ab̄c, ābc̄ + ab̄c, ābc̄ + ab̄c, empty
ābc̄ + ab̄c + abc, ābc̄ + ac, ābc̄ + ac, empty
ābc̄ + ab̄c, ābc̄ + ac, ābc̄ + ac, empty
ābc̄ + ab̄c + abc̄, bc̄ + ab̄c, bc̄ + ab̄c, empty
ābc̄ + ab̄c + abc̄ + abc, bc̄ + ac + ab, bc̄ + ac, empty
ābc̄ + ab̄c + abc̄, bc̄ + ac + ab, bc̄ + ac, empty
ābc̄ + ab̄c, bc̄ + ab̄c, bc̄ + ab̄c, empty
ābc̄ + ab̄c + abc, bc̄ + ac + ab, bc̄ + ac, empty
ābc̄ + ab̄c, bc̄ + ac, bc̄ + ac, empty
ābc̄, ābc̄, ābc̄, empty
ābc̄ + abc, ābc̄ + ac, ābc̄ + ac, empty
ābc̄, ābc̄, ābc̄, empty
ābc̄ + abc̄, bc̄, bc̄, empty
ābc̄ + abc̄ + abc, bc̄ + ac + ab, bc̄ + ab, bc̄ + ac
ābc̄ + abc̄, bc̄ + ab, bc̄, empty
ābc̄, bc̄, bc̄, empty
ābc̄ + abc, bc̄ + ac + ab, bc̄ + ab, bc̄ + ac
ābc̄, bc̄, bc̄, empty
ābc̄ + ab̄c̄, ābc̄ + ab̄c̄, ābc̄ + ab̄c̄, empty
ābc̄ + ab̄c̄ + abc, ābc̄ + ab̄c̄ + abc, ābc̄ + ab̄c̄ + abc, empty
ābc̄ + ab̄c̄, ābc̄ + ab̄c̄, ābc̄ + ab̄c̄, empty
ābc̄ + ab̄c̄ + abc̄, bc̄ + ac̄, bc̄ + ac̄, empty
ābc̄ + ab̄c̄ + abc̄ + abc, bc̄ + ac̄ + ab, bc̄ + ac̄ + ab, empty
ābc̄ + ab̄c̄ + abc̄, bc̄ + ac̄ + ab, bc̄ + ac̄, empty
ābc̄ + ab̄c̄, bc̄ + ac̄, bc̄ + ac̄, empty
