empty, 0, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄, ab̄d + ab̄c + abc̄d̄, ab̄d + ab̄c + abc̄d̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, acd + ab̄d + ab̄c + abc̄d̄, acd + ab̄d + ab̄c + abc̄d̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄, acd + ab̄d + ab̄c + abc̄d̄, ab̄d + ab̄c + abc̄d̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, acd̄ + ab̄d + ab̄c + abd̄, ab̄d + ab̄c + abd̄, acd̄ + ab̄d + abd̄
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄ + abcd, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄, acd̄ + ab̄d + ab̄c + abd̄, ab̄d + ab̄c + abd̄, acd̄ + ab̄d + abd̄
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ac̄d + ab̄d + ab̄c + abc̄, ab̄d + ab̄c + abc̄, ac̄d + ab̄c + abc̄
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd, ad + ab̄c + abc̄, ad + ab̄c + abc̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ad + ab̄c + abc̄, ad + ab̄c + abc̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄ + abcd, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd̄, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d + abcd, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abc̄d, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄, ac̄d + ab̄d + ab̄c + abc̄, ab̄d + ab̄c + abc̄, ac̄d + ab̄c + abc̄
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, ad + ab̄c + abc̄, ad + ab̄c + abc̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄, ad + ab̄c + abc̄, ad + ab̄c + abc̄, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄ + abcd, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd̄, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄ + abcd, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d̄, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, ab̄d + ab̄c, ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd, acd + ab̄d + ab̄c, acd + ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, acd + ab̄d + ab̄c, ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd̄, acd̄ + ab̄d + ab̄c + abd̄, ab̄d + ab̄c + abd̄, acd̄ + ab̄d
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd̄ + abcd, ac + ab̄d + abd̄, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd̄, ac + ab̄d + abd̄, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, acd̄ + ab̄d + ab̄c, ab̄d + ab̄c, acd̄ + ab̄d
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d, ac̄d + ab̄d + ab̄c + abc̄, ab̄d + ab̄c + abc̄, ac̄d + ab̄c
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d + abcd, ad + ab̄c + abc̄, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d, ad + ab̄c + abc̄, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d + abcd̄ + abcd, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d + abcd̄, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d, ac̄d + acd̄ + ab̄d + ab̄c + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d + abcd, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abc̄d, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, ac̄d + ab̄d + ab̄c, ab̄d + ab̄c, ac̄d + ab̄c
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd, ad + ab̄c, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, ad + ab̄c, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd̄ + abcd, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd̄, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, ac̄d + acd̄ + ab̄d + ab̄c, empty, empty
ab̄c̄d + ab̄cd̄ + ab̄cd + abcd, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + ab̄cd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄, ab̄d + ab̄c, ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abcd, acd + ab̄d + ab̄c, acd + ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄, ab̄d + ab̄c, ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abcd̄, acd̄ + ab̄d + ab̄c, acd̄ + ab̄d, empty
ab̄c̄d + ab̄cd̄ + abcd̄ + abcd, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄ + abcd̄, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄, acd̄ + ab̄d + ab̄c, ab̄d + ab̄c, acd̄ + ab̄d
ab̄c̄d + ab̄cd̄ + abcd, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄ + abc̄d, ac̄d + ab̄d + ab̄c, ac̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abc̄d + abcd, ad + ab̄c, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abc̄d, ad + ab̄c, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abc̄d + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c, ac̄d + acd̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d + abcd̄ + abcd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abc̄d + abcd̄, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abc̄d, ac̄d + acd̄ + ab̄d + ab̄c, ac̄d + ab̄c, ac̄d + acd̄
ab̄c̄d + ab̄cd̄ + abc̄d + abcd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abc̄d, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄, ac̄d + ab̄d + ab̄c, ab̄d + ab̄c, ac̄d + ab̄c
ab̄c̄d + ab̄cd̄ + abcd, ad + ab̄c, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄, ad + ab̄c, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c, acd̄ + ab̄d, ac̄d + acd̄
ab̄c̄d + ab̄cd̄ + abcd̄ + abcd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abcd̄, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄, ac̄d + acd̄ + ab̄d + ab̄c, empty, empty
ab̄c̄d + ab̄cd̄ + abcd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄, ab̄d + ab̄c + abc̄d̄, ab̄d + ab̄c + abc̄d̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd, acd + ab̄d + ab̄c + abc̄d̄, acd + ab̄d + ab̄c + abc̄d̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄, ab̄d + ab̄c + abc̄d̄, ab̄d + ab̄c + abc̄d̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd̄, acd̄ + ab̄d + ab̄c + abd̄, ab̄d + ab̄c + abd̄, acd̄ + ab̄d + abd̄
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd̄, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄, acd̄ + ab̄d + ab̄c + abd̄, ab̄d + ab̄c + abd̄, acd̄ + ab̄d + abd̄
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d, ac̄d + ab̄d + ab̄c + abc̄, ab̄d + ab̄c + abc̄, ac̄d + ab̄c + abc̄
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d + abcd, ad + ab̄c + abc̄, ad + ab̄c + abc̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d, ad + ab̄c + abc̄, ad + ab̄c + abc̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄ + abcd, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d + abcd, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abc̄d, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄, ac̄d + ab̄d + ab̄c + abc̄, ab̄d + ab̄c + abc̄, ac̄d + ab̄c + abc̄
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd, ad + ab̄c + abc̄, ad + ab̄c + abc̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄, ad + ab̄c + abc̄, ad + ab̄c + abc̄, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd̄, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄ + abcd, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄ + abc̄d̄, ad + ac + ab, ad + ac + ab, empty
ab̄c̄d + ab̄cd̄, ab̄d + ab̄c, ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abcd, acd + ab̄d + ab̄c, acd + ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄, ab̄d + ab̄c, ab̄d + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abcd̄, acd̄ + ab̄d + ab̄c + abd̄, ab̄d + ab̄c + abd̄, acd̄ + ab̄d
ab̄c̄d + ab̄cd̄ + abcd̄ + abcd, ac + ab̄d + abd̄, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄ + abcd̄, ac + ab̄d + abd̄, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄, acd̄ + ab̄d + ab̄c, ab̄d + ab̄c, acd̄ + ab̄d
ab̄c̄d + ab̄cd̄ + abcd, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd̄ + abc̄d, ac̄d + ab̄d + ab̄c + abc̄, ab̄d + ab̄c + abc̄, ac̄d + ab̄c
ab̄c̄d + ab̄cd̄ + abc̄d + abcd, ad + ab̄c + abc̄, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abc̄d, ad + ab̄c + abc̄, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abc̄d + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄ + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + abc̄d + abcd̄ + abcd, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abc̄d + abcd̄, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abc̄d, ac̄d + acd̄ + ab̄d + ab̄c + abc̄, empty, empty
ab̄c̄d + ab̄cd̄ + abc̄d + abcd, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abc̄d, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄, ac̄d + ab̄d + ab̄c, ab̄d + ab̄c, ac̄d + ab̄c
ab̄c̄d + ab̄cd̄ + abcd, ad + ab̄c, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄, ad + ab̄c, ad + ab̄c, empty
ab̄c̄d + ab̄cd̄ + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c + abd̄, empty, empty
ab̄c̄d + ab̄cd̄ + abcd̄ + abcd, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄ + abcd̄, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄, ac̄d + acd̄ + ab̄d + ab̄c, empty, empty
ab̄c̄d + ab̄cd̄ + abcd, ad + ac + ab, ad + ac, empty
ab̄c̄d + ab̄cd̄, ad + ac, ad + ac, empty
ab̄c̄d, ab̄c̄d, ab̄c̄d, empty
ab̄c̄d + abcd, ab̄c̄d + abcd, ab̄c̄d + abcd, empty
ab̄c̄d, ab̄c̄d, ab̄c̄d, empty
ab̄c̄d + abcd̄, acd̄ + ab̄c̄d, acd̄ + ab̄c̄d, empty
ab̄c̄d + abcd̄ + abcd, acd̄ + ab̄c̄d + abc, ab̄c̄d + abc, empty
ab̄c̄d + abcd̄, acd̄ + ab̄c̄d + abc, ab̄c̄d + abc, acd̄ + ab̄c̄d
ab̄c̄d, ab̄c̄d, ab̄c̄d, empty
ab̄c̄d + abcd, ab̄c̄d + abc, ab̄c̄d + abc, empty
ab̄c̄d, ab̄c̄d, ab̄c̄d, empty
ab̄c̄d + abc̄d, ac̄d, ac̄d, empty
ab̄c̄d + abc̄d + abcd, ac̄d + abd, ac̄d + abd, empty
ab̄c̄d + abc̄d, ac̄d + abd, ac̄d, empty
ab̄c̄d + abc̄d + abcd̄, ac̄d + acd̄, ac̄d + acd̄, empty
ab̄c̄d + abc̄d + abcd̄ + abcd, ac̄d + acd̄ + abd + abc, ac̄d + abc, ac̄d + acd̄ + abd
ab̄c̄d + abc̄d + abcd̄, ac̄d + acd̄ + abd + abc, ac̄d + abc, ac̄d + acd̄
ab̄c̄d + abc̄d, ac̄d, ac̄d, empty
ab̄c̄d + abc̄d + abcd, ac̄d + abd + abc, ac̄d + abc, ac̄d + abd
ab̄c̄d + abc̄d, ac̄d + abd, ac̄d, empty
ab̄c̄d, ac̄d, ac̄d, empty
ab̄c̄d + abcd, ac̄d + abd, ac̄d + abd, empty
ab̄c̄d, ac̄d, ac̄d, empty
ab̄c̄d + abcd̄, ac̄d + acd̄, ac̄d + acd̄, empty
ab̄c̄d + abcd̄ + abcd, ac̄d + acd̄ + abd + abc, ac̄d + abc, ac̄d + acd̄ + abd
ab̄c̄d + abcd̄, ac̄d + acd̄ + abc, ac̄d + abc, ac̄d + acd̄
ab̄c̄d, ac̄d, ac̄d, empty
ab̄c̄d + abcd, ac̄d + abd + abc, ac̄d + abc, ac̄d + abd
ab̄c̄d, ac̄d, ac̄d, empty
ab̄c̄d + abc̄d̄, ab̄c̄d + abc̄d̄, ab̄c̄d + abc̄d̄, empty
ab̄c̄d + abc̄d̄ + abcd, ab̄c̄d + abc̄d̄ + abcd, ab̄c̄d + abc̄d̄ + abcd, empty
ab̄c̄d + abc̄d̄, ab̄c̄d + abc̄d̄, ab̄c̄d + abc̄d̄, empty
ab̄c̄d + abc̄d̄ + abcd̄, acd̄ + ab̄c̄d + abd̄, ab̄c̄d + abd̄, empty
ab̄c̄d + abc̄d̄ + abcd̄ + abcd, acd̄ + ab̄c̄d + abd̄ + abc, ab̄c̄d + abd̄ + abc, empty
ab̄c̄d + abc̄d̄ + abcd̄, acd̄ + ab̄c̄d + abd̄ + abc, ab̄c̄d + abd̄, empty
ab̄c̄d + abc̄d̄, ab̄c̄d + abd̄, ab̄c̄d + abd̄, empty
ab̄c̄d + abc̄d̄ + abcd, ab̄c̄d + abd̄ + abc, ab̄c̄d + abd̄ + abc, empty
ab̄c̄d + abc̄d̄, ab̄c̄d + abd̄, ab̄c̄d + abd̄, empty
ab̄c̄d + abc̄d̄ + abc̄d, ac̄d + abc̄, ac̄d + abc̄, empty
ab̄c̄d + abc̄d̄ + abc̄d + abcd, ac̄d + abd + abc̄, ac̄d + abd + abc̄, empty
ab̄c̄d + abc̄d̄ + abc̄d, ac̄d + abd + abc̄, ac̄d + abc̄, empty
ab̄c̄d + abc̄d̄ + abc̄d + abcd̄, ac̄d + acd̄ + abd̄ + abc̄, ac̄d + abd̄, ac̄d + acd̄ + abc̄
ab̄c̄d + abc̄d̄ + abc̄d + abcd̄ + abcd, ac̄d + acd̄ + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d̄ + abc̄d + abcd̄, ac̄d + acd̄ + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d̄ + abc̄d, ac̄d + abd̄ + abc̄, ac̄d + abc̄, ac̄d + abd̄
ab̄c̄d + abc̄d̄ + abc̄d + abcd, ac̄d + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d̄ + abc̄d, ac̄d + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d̄, ac̄d + abc̄, ac̄d + abc̄, empty
ab̄c̄d + abc̄d̄ + abcd, ac̄d + abd + abc̄, ac̄d + abd + abc̄, empty
ab̄c̄d + abc̄d̄, ac̄d + abc̄, ac̄d + abc̄, empty
ab̄c̄d + abc̄d̄ + abcd̄, ac̄d + acd̄ + abd̄ + abc̄, ac̄d + abd̄, ac̄d + acd̄ + abc̄
ab̄c̄d + abc̄d̄ + abcd̄ + abcd, ac̄d + acd̄ + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d̄ + abcd̄, ac̄d + acd̄ + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d̄, ac̄d + abd̄ + abc̄, ac̄d + abc̄, ac̄d + abd̄
ab̄c̄d + abc̄d̄ + abcd, ac̄d + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d̄, ac̄d + ab, ac̄d + ab, empty
ab̄c̄d, ab̄c̄d, ab̄c̄d, empty
ab̄c̄d + abcd, ab̄c̄d + abcd, ab̄c̄d + abcd, empty
ab̄c̄d, ab̄c̄d, ab̄c̄d, empty
ab̄c̄d + abcd̄, acd̄ + ab̄c̄d + abd̄, ab̄c̄d + abd̄, acd̄ + ab̄c̄d
ab̄c̄d + abcd̄ + abcd, acd̄ + ab̄c̄d + abd̄ + abc, ab̄c̄d + abc, empty
ab̄c̄d + abcd̄, acd̄ + ab̄c̄d + abd̄ + abc, empty, empty
ab̄c̄d, ab̄c̄d, ab̄c̄d, empty
ab̄c̄d + abcd, ab̄c̄d + abc, ab̄c̄d + abc, empty
ab̄c̄d, ab̄c̄d, ab̄c̄d, empty
ab̄c̄d + abc̄d, ac̄d + abc̄, ac̄d, empty
ab̄c̄d + abc̄d + abcd, ac̄d + abd + abc̄, ac̄d + abd, empty
ab̄c̄d + abc̄d, ac̄d + abd + abc̄, ac̄d, empty
ab̄c̄d + abc̄d + abcd̄, ac̄d + acd̄ + abd̄ + abc̄, ac̄d + abd̄, ac̄d + acd̄
ab̄c̄d + abc̄d + abcd̄ + abcd, ac̄d + acd̄ + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d + abcd̄, ac̄d + acd̄ + ab, ac̄d + ab, ac̄d + acd̄
ab̄c̄d + abc̄d, ac̄d + abc̄, ac̄d, empty
ab̄c̄d + abc̄d + abcd, ac̄d + ab, ac̄d + ab, empty
ab̄c̄d + abc̄d, ac̄d + ab, ac̄d, empty
ab̄c̄d, ac̄d, ac̄d, empty
ab̄c̄d + abcd, ac̄d + abd, ac̄d + abd, empty
ab̄c̄d, ac̄d, ac̄d, empty
ab̄c̄d + abcd̄, ac̄d + acd̄ + abd̄, ac̄d + abd̄, ac̄d + acd̄
ab̄c̄d + abcd̄ + abcd, ac̄d + acd̄ + ab, ac̄d + ab, empty
ab̄c̄d + abcd̄, ac̄d + acd̄ + ab, ac̄d + ab, ac̄d + acd̄
ab̄c̄d, ac̄d, ac̄d, empty
ab̄c̄d + abcd, ac̄d + ab, ac̄d + ab, empty
ab̄c̄d, ac̄d, ac̄d, empty
ab̄c̄d + ab̄cd, ab̄d + ab̄c, ab̄d, empty
ab̄c̄d + ab̄cd + abcd, acd + ab̄d + ab̄c, acd + ab̄d, empty
ab̄c̄d + ab̄cd, acd + ab̄d + ab̄c, ab̄d, empty
ab̄c̄d + ab̄cd + abcd̄, acd̄ + ab̄d + ab̄c, acd̄ + ab̄d, empty
ab̄c̄d + ab̄cd + abcd̄ + abcd, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd + abcd̄, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd, ab̄d + ab̄c, ab̄d, empty
ab̄c̄d + ab̄cd + abcd, ac + ab̄d, ac + ab̄d, empty
ab̄c̄d + ab̄cd, ac + ab̄d, ab̄d, empty
ab̄c̄d + ab̄cd + abc̄d, ac̄d + ab̄d + ab̄c, ac̄d + ab̄c, ac̄d + ab̄d
ab̄c̄d + ab̄cd + abc̄d + abcd, ad + ab̄c, ad, empty
ab̄c̄d + ab̄cd + abc̄d, ad + ab̄c, ad, empty
ab̄c̄d + ab̄cd + abc̄d + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c, ac̄d + acd̄ + ab̄c, ac̄d + acd̄ + ab̄d
ab̄c̄d + ab̄cd + abc̄d + abcd̄ + abcd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd + abc̄d + abcd̄, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd + abc̄d, ac̄d + ab̄d + ab̄c, ac̄d + ab̄c, ac̄d + ab̄d
ab̄c̄d + ab̄cd + abc̄d + abcd, ad + ac, ad, empty
ab̄c̄d + ab̄cd + abc̄d, ad + ac, ad, empty
ab̄c̄d + ab̄cd, ac̄d + ab̄d + ab̄c, ab̄d, ac̄d + ab̄c
ab̄c̄d + ab̄cd + abcd, ad + ab̄c, ad, empty
ab̄c̄d + ab̄cd, ad + ab̄c, ad, empty
ab̄c̄d + ab̄cd + abcd̄, ac̄d + acd̄ + ab̄d + ab̄c, acd̄ + ab̄d, ac̄d + acd̄ + ab̄c
ab̄c̄d + ab̄cd + abcd̄ + abcd, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd + abcd̄, ad + ac, ad + ac, empty
ab̄c̄d + ab̄cd, ac̄d + ab̄d + ab̄c, ab̄d, ac̄d + ab̄c
ab̄c̄d + ab̄cd + abcd, ad + ac, ad, empty
ab̄c̄d + ab̄cd, ad + ac, ad, empty
ab̄c̄d + ab̄cd + abc̄d̄, ab̄d + ab̄c + abc̄d̄, ab̄d + abc̄d̄, empty
ab̄c̄d + ab̄cd + abc̄d̄ + abcd, acd + ab̄d + ab̄c + abc̄d̄, acd + ab̄d + abc̄d̄, empty
ab̄c̄d + ab̄cd + abc̄d̄, acd + ab̄d + ab̄c + abc̄d̄, ab̄d + abc̄d̄, empty
ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄, acd̄ + ab̄d + ab̄c + abd̄, ab̄d + abd̄, empty
ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄ + abcd, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd + abc̄d̄ + abcd̄, ac + ab̄d + abd̄, ab̄d + abd̄, empty
ab̄c̄d + ab̄cd + abc̄d̄, ab̄d + ab̄c + abd̄, ab̄d + abd̄, empty
ab̄c̄d + ab̄cd + abc̄d̄ + abcd, ac + ab̄d + abd̄, ac + ab̄d + abd̄, empty
ab̄c̄d + ab̄cd + abc̄d̄, ac + ab̄d + abd̄, ab̄d + abd̄, empty
ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d, ac̄d + ab̄d + ab̄c + abc̄, ab̄d + abc̄, ac̄d + ab̄c + abc̄
ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d + abcd, ad + ab̄c + abc̄, ad + abc̄, empty
ab̄c̄d + ab̄cd + abc̄d̄ + abc̄d, ad + ab̄c + abc̄, ad + abc̄, empty
